Etykieta,# Liczba próbek,Średnia,Mediana,90% linii,95% linii,99% linii,Minimum,Maksimum,% błędów,Przepustowość,KB/sek,Wysłano KB/sek
Home,104,365,335,461,602,1146,116,1337,"0,000%",",03246","0,42","0,02"
Logo_Icons,100,226,197,276,362,738,158,970,"0,000%",",03382","0,67","0,02"
Check random variable,100,3159,2168,5523,6184,8028,1167,48845,"0,000%",",03409","28,40","0,01"
Login,100,835,714,1386,1589,1837,479,4024,"0,000%",",03405","0,56","0,11"
Personal data,100,487,301,469,818,2958,199,11469,"0,000%",",03405","0,45","0,02"
Wish List,100,288,241,349,418,872,186,1286,"0,000%",",03406","0,42","0,02"
My orders,100,968,296,817,1061,2062,206,58817,"0,000%",",03406","0,43","0,02"
Logout,100,2526,488,794,1547,44249,321,49108,"0,000%",",03410","0,46","0,07"
RAZEM,804,1103,357,1837,2837,8028,116,58817,"0,000%",",25060","29,13","0,27"
